x,y,z,roll,pitch,yaw,vx,vy,vz
0.4,0,0.46117,3.14159,0,3.14159,0,0,0.22
0.4,0,0.460949,3.14159,0,3.14159,0,0,0.220625
0.4,0,0.460728,3.14159,0,3.14159,0,0,0.22125
0.4,0,0.460506,3.14159,0,3.14159,0,0,0.221875
0.4,0,0.460284,3.14159,0,3.14159,0,0,0.2225
0.4,0,0.460061,3.14159,0,3.14159,0,0,0.223125
0.4,0,0.459837,3.14159,0,3.14159,0,0,0.22375
0.4,0,0.459613,3.14159,0,3.14159,0,0,0.224375
0.4,0,0.459388,3.14159,0,3.14159,0,0,0.225
0.4,0,0.459162,3.14159,0,3.14159,0,0,0.225625
0.4,0,0.458936,3.14159,0,3.14159,0,0,0.22625
0.4,0,0.458709,3.14159,0,3.14159,0,0,0.226875
0.4,0,0.458481,3.14159,0,3.14159,0,0,0.2275
0.4,0,0.458253,3.14159,0,3.14159,0,0,0.228125
0.4,0,0.458024,3.14159,0,3.14159,0,0,0.22875
0.4,0,0.457795,3.14159,0,3.14159,0,0,0.229375
0.4,0,0.457565,3.14159,0,3.14159,0,0,0.23
0.4,0,0.457334,3.14159,0,3.14159,0,0,0.230625
0.4,0,0.457103,3.14159,0,3.14159,0,0,0.23125
0.4,0,0.456871,3.14159,0,3.14159,0,0,0.231875
0.4,0,0.456639,3.14159,0,3.14159,0,0,0.2325
0.4,0,0.456406,3.14159,0,3.14159,0,0,0.233125
0.4,0,0.456172,3.14159,0,3.14159,0,0,0.23375
0.4,0,0.455938,3.14159,0,3.14159,0,0,0.234375
0.4,0,0.455703,3.14159,0,3.14159,0,0,0.235
0.4,0,0.455467,3.14159,0,3.14159,0,0,0.235625
0.4,0,0.455231,3.14159,0,3.14159,0,0,0.23625
0.4,0,0.454994,3.14159,0,3.14159,0,0,0.236875
0.4,0,0.454756,3.14159,0,3.14159,0,0,0.2375
0.4,0,0.454518,3.14159,0,3.14159,0,0,0.238125
0.4,0,0.454279,3.14159,0,3.14159,0,0,0.23875
0.4,0,0.45404,3.14159,0,3.14159,0,0,0.239375
0.4,0,0.4538,3.14159,0,3.14159,0,0,0.24
0.4,0,0.453559,3.14159,0,3.14159,0,0,0.240625
0.4,0,0.453318,3.14159,0,3.14159,0,0,0.24125
0.4,0,0.453076,3.14159,0,3.14159,0,0,0.241875
0.4,0,0.452834,3.14159,0,3.14159,0,0,0.2425
0.4,0,0.452591,3.14159,0,3.14159,0,0,0.243125
0.4,0,0.452347,3.14159,0,3.14159,0,0,0.24375
0.4,0,0.452103,3.14159,0,3.14159,0,0,0.244375
0.4,0,0.451858,3.14159,0,3.14159,0,0,0.245
0.4,0,0.451612,3.14159,0,3.14159,0,0,0.245625
0.4,0,0.451366,3.14159,0,3.14159,0,0,0.24625
0.4,0,0.451119,3.14159,0,3.14159,0,0,0.246875
0.4,0,0.450871,3.14159,0,3.14159,0,0,0.2475
0.4,0,0.450623,3.14159,0,3.14159,0,0,0.248125
0.4,0,0.450374,3.14159,0,3.14159,0,0,0.24875
0.4,0,0.450125,3.14159,0,3.14159,0,0,0.249375
0.4,0,0.449875,3.14159,0,3.14159,0,0,0.25
0.4,0,0.449624,3.14159,0,3.14159,0,0,0.250625
0.4,0,0.449373,3.14159,0,3.14159,0,0,0.25125
0.4,0,0.449121,3.14159,0,3.14159,0,0,0.251875
0.4,0,0.448869,3.14159,0,3.14159,0,0,0.2525
0.4,0,0.448616,3.14159,0,3.14159,0,0,0.253125
0.4,0,0.448362,3.14159,0,3.14159,0,0,0.25375
0.4,0,0.448108,3.14159,0,3.14159,0,0,0.254375
0.4,0,0.447853,3.14159,0,3.14159,0,0,0.255
0.4,0,0.447597,3.14159,0,3.14159,0,0,0.255625
0.4,0,0.447341,3.14159,0,3.14159,0,0,0.25625
0.4,0,0.447084,3.14159,0,3.14159,0,0,0.256875
0.4,0,0.446826,3.14159,0,3.14159,0,0,0.2575
0.4,0,0.446568,3.14159,0,3.14159,0,0,0.258125
0.4,0,0.446309,3.14159,0,3.14159,0,0,0.25875
0.4,0,0.44605,3.14159,0,3.14159,0,0,0.259375
0.4,0,0.44579,3.14159,0,3.14159,0,0,0.26
0.4,0,0.445529,3.14159,0,3.14159,0,0,0.260625
0.4,0,0.445268,3.14159,0,3.14159,0,0,0.26125
0.4,0,0.445006,3.14159,0,3.14159,0,0,0.261875
0.4,0,0.444744,3.14159,0,3.14159,0,0,0.2625
0.4,0,0.444481,3.14159,0,3.14159,0,0,0.263125
0.4,0,0.444217,3.14159,0,3.14159,0,0,0.26375
0.4,0,0.443953,3.14159,0,3.14159,0,0,0.264375
0.4,0,0.443688,3.14159,0,3.14159,0,0,0.265
0.4,0,0.443422,3.14159,0,3.14159,0,0,0.265625
0.4,0,0.443156,3.14159,0,3.14159,0,0,0.26625
0.4,0,0.442889,3.14159,0,3.14159,0,0,0.266875
0.4,0,0.442621,3.14159,0,3.14159,0,0,0.2675
0.4,0,0.442353,3.14159,0,3.14159,0,0,0.268125
0.4,0,0.442084,3.14159,0,3.14159,0,0,0.26875
0.4,0,0.441815,3.14159,0,3.14159,0,0,0.269375
0.4,0,0.441545,3.14159,0,3.14159,0,0,0.27
0.4,0,0.441274,3.14159,0,3.14159,0,0,0.270625
0.4,0,0.441003,3.14159,0,3.14159,0,0,0.27125
0.4,0,0.440731,3.14159,0,3.14159,0,0,0.271875
